# emoji	group	subgroup	name	keywords
👨‍🍼	People & Body	person-role	man feeding baby	man feeding baby,baby,dad,father,feed,feeding,man,nanny,newborn,nursing
👨🏻‍🍼	People & Body	person-role	man feeding baby: light skin tone	man feeding baby: light skin tone
👨🏼‍🍼	People & Body	person-role	man feeding baby: medium-light skin tone	man feeding baby: medium-light skin tone
👨🏽‍🍼	People & Body	person-role	man feeding baby: medium skin tone	man feeding baby: medium skin tone
👨🏾‍🍼	People & Body	person-role	man feeding baby: medium-dark skin tone	man feeding baby: medium-dark skin tone
👨🏿‍🍼	People & Body	person-role	man feeding baby: dark skin tone	man feeding baby: dark skin tone
🧑‍🍼	People & Body	person-role	person feeding baby	person feeding baby,baby,feed,feeding,nanny,newborn,nursing,parent
🧑🏻‍🍼	People & Body	person-role	person feeding baby: light skin tone	person feeding baby: light skin tone
🧑🏼‍🍼	People & Body	person-role	person feeding baby: medium-light skin tone	person feeding baby: medium-light skin tone
🧑🏽‍🍼	People & Body	person-role	person feeding baby: medium skin tone	person feeding baby: medium skin tone
🧑🏾‍🍼	People & Body	person-role	person feeding baby: medium-dark skin tone	person feeding baby: medium-dark skin tone
🧑🏿‍🍼	People & Body	person-role	person feeding baby: dark skin tone	person feeding baby: dark skin tone
👼	People & Body	person-fantasy	baby angel	baby angel,angel,baby,church,face,fairy,fairytale,fantasy,tale
👼🏻	People & Body	person-fantasy	baby angel: light skin tone	baby angel: light skin tone
👼🏼	People & Body	person-fantasy	baby angel: medium-light skin tone	baby angel: medium-light skin tone
👼🏽	People & Body	person-fantasy	baby angel: medium skin tone	baby angel: medium skin tone
👼🏾	People & Body	person-fantasy	baby angel: medium-dark skin tone	baby angel: medium-dark skin tone
👼🏿	People & Body	person-fantasy	baby angel: dark skin tone	baby angel: dark skin tone
🎅	People & Body	person-fantasy	Santa Claus	santa claus,celebration,christmas,claus,fairy,fantasy,father,holiday,merry,santa,tale,xmas
🎅🏻	People & Body	person-fantasy	Santa Claus: light skin tone	santa claus: light skin tone
🎅🏼	People & Body	person-fantasy	Santa Claus: medium-light skin tone	santa claus: medium-light skin tone
🎅🏽	People & Body	person-fantasy	Santa Claus: medium skin tone	santa claus: medium skin tone
🎅🏾	People & Body	person-fantasy	Santa Claus: medium-dark skin tone	santa claus: medium-dark skin tone
🎅🏿	People & Body	person-fantasy	Santa Claus: dark skin tone	santa claus: dark skin tone
🤶	People & Body	person-fantasy	Mrs. Claus	mrs. claus,celebration,christmas,claus,fairy,fantasy,holiday,merry,mother,mrs,santa,tale,xmas
🤶🏻	People & Body	person-fantasy	Mrs. Claus: light skin tone	mrs. claus: light skin tone
🤶🏼	People & Body	person-fantasy	Mrs. Claus: medium-light skin tone	mrs. claus: medium-light skin tone
🤶🏽	People & Body	person-fantasy	Mrs. Claus: medium skin tone	mrs. claus: medium skin tone
🤶🏾	People & Body	person-fantasy	Mrs. Claus: medium-dark skin tone	mrs. claus: medium-dark skin tone
🤶🏿	People & Body	person-fantasy	Mrs. Claus: dark skin tone	mrs. claus: dark skin tone
🧑‍🎄	People & Body	person-fantasy	Mx Claus	mx claus,celebration,christmas,claus,fairy,fantasy,holiday,merry,mx,santa,tale,xmas
🧑🏻‍🎄	People & Body	person-fantasy	Mx Claus: light skin tone	mx claus: light skin tone
🧑🏼‍🎄	People & Body	person-fantasy	Mx Claus: medium-light skin tone	mx claus: medium-light skin tone
🧑🏽‍🎄	People & Body	person-fantasy	Mx Claus: medium skin tone	mx claus: medium skin tone
🧑🏾‍🎄	People & Body	person-fantasy	Mx Claus: medium-dark skin tone	mx claus: medium-dark skin tone
🧑🏿‍🎄	People & Body	person-fantasy	Mx Claus: dark skin tone	mx claus: dark skin tone
🦸	People & Body	person-fantasy	superhero	superhero,good,hero,superpower
🦸🏻	People & Body	person-fantasy	superhero: light skin tone	superhero: light skin tone
🦸🏼	People & Body	person-fantasy	superhero: medium-light skin tone	superhero: medium-light skin tone
🦸🏽	People & Body	person-fantasy	superhero: medium skin tone	superhero: medium skin tone
🦸🏾	People & Body	person-fantasy	superhero: medium-dark skin tone	superhero: medium-dark skin tone
🦸🏿	People & Body	person-fantasy	superhero: dark skin tone	superhero: dark skin tone
🦸‍♂️	People & Body	person-fantasy	man superhero	man superhero
🦸🏻‍♂️	People & Body	person-fantasy	man superhero: light skin tone	man superhero: light skin tone
🦸🏼‍♂️	People & Body	person-fantasy	man superhero: medium-light skin tone	man superhero: medium-light skin tone
🦸🏽‍♂️	People & Body	person-fantasy	man superhero: medium skin tone	man superhero: medium skin tone
🦸🏾‍♂️	People & Body	person-fantasy	man superhero: medium-dark skin tone	man superhero: medium-dark skin tone
🦸🏿‍♂️	People & Body	person-fantasy	man superhero: dark skin tone	man superhero: dark skin tone
🦸‍♀️	People & Body	person-fantasy	woman superhero	woman superhero
🦸🏻‍♀️	People & Body	person-fantasy	woman superhero: light skin tone	woman superhero: light skin tone
🦸🏼‍♀️	People & Body	person-fantasy	woman superhero: medium-light skin tone	woman superhero: medium-light skin tone
🦸🏽‍♀️	People & Body	person-fantasy	woman superhero: medium skin tone	woman superhero: medium skin tone
🦸🏾‍♀️	People & Body	person-fantasy	woman superhero: medium-dark skin tone	woman superhero: medium-dark skin tone
🦸🏿‍♀️	People & Body	person-fantasy	woman superhero: dark skin tone	woman superhero: dark skin tone
🦹	People & Body	person-fantasy	supervillain	supervillain,bad,criminal,evil,superpower,villain
🦹🏻	People & Body	person-fantasy	supervillain: light skin tone	supervillain: light skin tone
🦹🏼	People & Body	person-fantasy	supervillain: medium-light skin tone	supervillain: medium-light skin tone
🦹🏽	People & Body	person-fantasy	supervillain: medium skin tone	supervillain: medium skin tone
🦹🏾	People & Body	person-fantasy	supervillain: medium-dark skin tone	supervillain: medium-dark skin tone
🦹🏿	People & Body	person-fantasy	supervillain: dark skin tone	supervillain: dark skin tone
🦹‍♂️	People & Body	person-fantasy	man supervillain	man supervillain
🦹🏻‍♂️	People & Body	person-fantasy	man supervillain: light skin tone	man supervillain: light skin tone
🦹🏼‍♂️	People & Body	person-fantasy	man supervillain: medium-light skin tone	man supervillain: medium-light skin tone
🦹🏽‍♂️	People & Body	person-fantasy	man supervillain: medium skin tone	man supervillain: medium skin tone
🦹🏾‍♂️	People & Body	person-fantasy	man supervillain: medium-dark skin tone	man supervillain: medium-dark skin tone
🦹🏿‍♂️	People & Body	person-fantasy	man supervillain: dark skin tone	man supervillain: dark skin tone
🦹‍♀️	People & Body	person-fantasy	woman supervillain	woman supervillain
🦹🏻‍♀️	People & Body	person-fantasy	woman supervillain: light skin tone	woman supervillain: light skin tone
🦹🏼‍♀️	People & Body	person-fantasy	woman supervillain: medium-light skin tone	woman supervillain: medium-light skin tone
🦹🏽‍♀️	People & Body	person-fantasy	woman supervillain: medium skin tone	woman supervillain: medium skin tone
🦹🏾‍♀️	People & Body	person-fantasy	woman supervillain: medium-dark skin tone	woman supervillain: medium-dark skin tone
🦹🏿‍♀️	People & Body	person-fantasy	woman supervillain: dark skin tone	woman supervillain: dark skin tone
🧙	People & Body	person-fantasy	mage	mage,fantasy,magic,play,sorcerer,sorceress,sorcery,spell,summon,witch,wizard
🧙🏻	People & Body	person-fantasy	mage: light skin tone	mage: light skin tone
🧙🏼	People & Body	person-fantasy	mage: medium-light skin tone	mage: medium-light skin tone
🧙🏽	People & Body	person-fantasy	mage: medium skin tone	mage: medium skin tone
🧙🏾	People & Body	person-fantasy	mage: medium-dark skin tone	mage: medium-dark skin tone
🧙🏿	People & Body	person-fantasy	mage: dark skin tone	mage: dark skin tone
🧙‍♂️	People & Body	person-fantasy	man mage	man mage
🧙🏻‍♂️	People & Body	person-fantasy	man mage: light skin tone	man mage: light skin tone
🧙🏼‍♂️	People & Body	person-fantasy	man mage: medium-light skin tone	man mage: medium-light skin tone
🧙🏽‍♂️	People & Body	person-fantasy	man mage: medium skin tone	man mage: medium skin tone
🧙🏾‍♂️	People & Body	person-fantasy	man mage: medium-dark skin tone	man mage: medium-dark skin tone
🧙🏿‍♂️	People & Body	person-fantasy	man mage: dark skin tone	man mage: dark skin tone
🧙‍♀️	People & Body	person-fantasy	woman mage	woman mage
🧙🏻‍♀️	People & Body	person-fantasy	woman mage: light skin tone	woman mage: light skin tone
🧙🏼‍♀️	People & Body	person-fantasy	woman mage: medium-light skin tone	woman mage: medium-light skin tone
🧙🏽‍♀️	People & Body	person-fantasy	woman mage: medium skin tone	woman mage: medium skin tone
🧙🏾‍♀️	People & Body	person-fantasy	woman mage: medium-dark skin tone	woman mage: medium-dark skin tone
🧙🏿‍♀️	People & Body	person-fantasy	woman mage: dark skin tone	woman mage: dark skin tone
🧚	People & Body	person-fantasy	fairy	fairy,fairytale,fantasy,myth,person,pixie,tale,wings
🧚🏻	People & Body	person-fantasy	fairy: light skin tone	fairy: light skin tone
🧚🏼	People & Body	person-fantasy	fairy: medium-light skin tone	fairy: medium-light skin tone
🧚🏽	People & Body	person-fantasy	fairy: medium skin tone	fairy: medium skin tone
🧚🏾	People & Body	person-fantasy	fairy: medium-dark skin tone	fairy: medium-dark skin tone
🧚🏿	People & Body	person-fantasy	fairy: dark skin tone	fairy: dark skin tone
🧚‍♂️	People & Body	person-fantasy	man fairy	man fairy
🧚🏻‍♂️	People & Body	person-fantasy	man fairy: light skin tone	man fairy: light skin tone
🧚🏼‍♂️	People & Body	person-fantasy	man fairy: medium-light skin tone	man fairy: medium-light skin tone
🧚🏽‍♂️	People & Body	person-fantasy	man fairy: medium skin tone	man fairy: medium skin tone
🧚🏾‍♂️	People & Body	person-fantasy	man fairy: medium-dark skin tone	man fairy: medium-dark skin tone
🧚🏿‍♂️	People & Body	person-fantasy	man fairy: dark skin tone	man fairy: dark skin tone
🧚‍♀️	People & Body	person-fantasy	woman fairy	woman fairy
🧚🏻‍♀️	People & Body	person-fantasy	woman fairy: light skin tone	woman fairy: light skin tone
🧚🏼‍♀️	People & Body	person-fantasy	woman fairy: medium-light skin tone	woman fairy: medium-light skin tone
🧚🏽‍♀️	People & Body	person-fantasy	woman fairy: medium skin tone	woman fairy: medium skin tone
🧚🏾‍♀️	People & Body	person-fantasy	woman fairy: medium-dark skin tone	woman fairy: medium-dark skin tone
🧚🏿‍♀️	People & Body	person-fantasy	woman fairy: dark skin tone	woman fairy: dark skin tone
🧛	People & Body	person-fantasy	vampire	vampire,blood,dracula,fangs,halloween,scary,supernatural,teeth,undead
🧛🏻	People & Body	person-fantasy	vampire: light skin tone	vampire: light skin tone
